Feature1,Feature2,Feature3,ComLevel
1950,1977.2,1940,1955.1
1955,1977.9,1926,1939.5
1941.5,1970.95,1920.2,1959.05
1954.8,1974.1,1935.1,1942.9
1943.1,1961.95,1937.45,1948.1
1954,1961.85,1920,1927.8
1932,1954.85,1916.7,1949.05
1971.8,2036.9,1960.4,2024.6
2032,2069,2026.95,2033.6
2035,2097.7,2025.3,2089.75
2083,2098,2056.55,2061.45
2055.5,2097.65,2045.1,2090.85
2088,2098,2067.25,2080
2103,2138,2082.4,2122.05
2127.5,2225,2125,2212.75
2235,2258.85,2201,2215.4
2230,2230,2095.7,2108.45
2104.8,2133.8,2061.55,2120.65
2125,2127.95,2050,2071.65
2088,2107.65,2076.85,2089.35
2088.5,2103,2046.15,2061.15
2042,2082.35,2001.85,2008.7
1995,2072,1995,2067.75
2068,2089.8,2052.55,2063.95
2065,2085.8,2047.9,2069.8
2070.25,2100,2070.25,2091.95
2089,2129,2079.4,2112.05
2110,2141.95,2091.1,2097.6
2100,2109.4,2095.2,2099
2100,2105,2031.7,2042
2063,2103.55,2059.05,2091.1
2100,2148.15,2080.3,2121.95
2130,2131.75,2071.2,2090.85
2090,2140,2050,2094.65
2096.85,2121.7,2079,2087.15
2098.95,2106.2,2043.65,2049
2072,2072,2021.85,2026.2
2046,2059.9,2032.25,2044
2049.95,2055,2021.2,2029.9
2046.85,2049.9,2017,2023.6
2023.2,2034.7,1980,1986.6
1991,2011,1985.1,2000.85
2008,2026.85,1993.1,2013.25
2003.1,2016.45,1987,1993.7
2009,2013.7,1975,1986.45
1993.1,1996.55,1970,1984.6
1992,2014.7,1981.8,2004.35
1995,2021,1995,2013.9
2016.05,2042,2015.05,2020.8
2019.9,2031.6,1993.65,2000.05
2016,2033.55,1983.05,1987.15
1991,2010,1991,2000.3
2029,2029.95,2000,2004.85
2000,2089,2000,2082.75
2079,2086.85,2043,2058.05
2045,2064,2025.1,2028.9
2037.95,2045,1995,2001.8
2013.7,2039.8,2005.15,2019.15
2031.6,2065.85,2030,2045.35
2040,2071,2038,2055.8
2075.95,2110,2062.65,2081.5
2088.1,2130,2085.85,2120.55
2129.95,2143.45,2097.95,2109.05
2119.8,2129,2104.25,2110.7
2115,2117,2091.45,2100.3
2107,2169.9,2105,2160.65
2170,2175.25,2146.7,2156.05
2160.1,2184.95,2150.9,2172.05
2180.1,2184.5,2151.1,2153.3
2166,2189,2156.15,2167
2164.7,2229.1,2147.25,2222.2
2229,2244,2197,2239.6
2240,2256.45,2199,2206.15
2212,2244,2210,2232.65
2228.75,2255.5,2222.1,2241.95
2260,2309.8,2235,2280.9
2285,2384,2285,2368.75
2372,2384.8,2320,2326.75
2342.45,2378.2,2327,2353.6
2380,2380.1,2325,2350.3
2298,2298,2206.05,2213.05
2218.95,2350,2215.5,2338.2
2334,2339.25,2275.1,2280.3
2287.1,2296.85,2264.1,2274.05
2268.1,2276.7,2237.3,2252.45
2244,2283.25,2235,2248.7
2226,2259.5,2220.1,2229.6
2232,2247.85,2196.1,2212.35
2240,2240,2205,2209.8
2198.05,2227,2190,2217.6
2225.1,2269.8,2221,2241.05
2222,2244.25,2190.8,2194.45
2174,2175,2112.05,2151.35
2163.8,2200,2140,2194.4
2180,2189.9,2145,2175.25
